"id","sku_id","attr_id","attr_name","attr_value","attr_sort"
"1","1","9","颜色","星河银","NULL"
"2","1","12","版本","8GB+256GB","NULL"
"3","2","9","颜色","星河银","NULL"
"4","2","12","版本","8GB+128GB","NULL"
"5","3","9","颜色","亮黑色","NULL"
"6","3","12","版本","8GB+256GB","NULL"
"7","4","9","颜色","亮黑色","NULL"
"8","4","12","版本","8GB+128GB","NULL"
"9","5","9","颜色","翡冷翠","NULL"
"10","5","12","版本","8GB+256GB","NULL"
"11","6","9","颜色","翡冷翠","NULL"
"12","6","12","版本","8GB+128GB","NULL"
"13","7","9","颜色","罗兰紫","NULL"
"14","7","12","版本","8GB+256GB","NULL"
"15","8","9","颜色","罗兰紫","NULL"
"16","8","12","版本","8GB+128GB","NULL"
"17","9","9","颜色","黑色","NULL"
"18","9","12","版本","128GB ","NULL"
"19","10","9","颜色","黑色","NULL"
"20","10","12","版本","256GB","NULL"
"21","11","9","颜色","黑色","NULL"
"22","11","12","版本","64GB","NULL"
"23","12","9","颜色","白色","NULL"
"24","12","12","版本","128GB ","NULL"
"25","13","9","颜色","白色","NULL"
"26","13","12","版本","256GB","NULL"
"27","14","9","颜色","白色","NULL"
"28","14","12","版本","64GB","NULL"
"29","15","9","颜色","绿色","NULL"
"30","15","12","版本","128GB ","NULL"
"31","16","9","颜色","绿色","NULL"
"32","16","12","版本","256GB","NULL"
"33","17","9","颜色","绿色","NULL"
"34","17","12","版本","64GB","NULL"
"35","18","9","颜色","黄色","NULL"
"36","18","12","版本","128GB ","NULL"
"37","19","9","颜色","黄色","NULL"
"38","19","12","版本","256GB","NULL"
"39","20","9","颜色","黄色","NULL"
"40","20","12","版本","64GB","NULL"
"41","21","9","颜色","红色","NULL"
"42","21","12","版本","128GB ","NULL"
"43","22","9","颜色","红色","NULL"
"44","22","12","版本","256GB","NULL"
"45","23","9","颜色","红色","NULL"
"46","23","12","版本","64GB","NULL"
"47","24","9","颜色","紫色","NULL"
"48","24","12","版本","128GB ","NULL"
"49","25","9","颜色","紫色","NULL"
"50","25","12","版本","256GB","NULL"
"51","26","9","颜色","紫色","NULL"
"52","26","12","版本","64GB","NULL"
